product_id,product_name,category,subcategory,brand,price,description
101,Wireless Mouse,Electronics,Accessories,LogiTech,799,Ergonomic 2.4G wireless mouse
102,Gaming Keyboard,Electronics,Accessories,RedStorm,2499,Mechanical RGB gaming keyboard
103,Noise Cancelling Headphones,Electronics,Audio,SonicBeat,4999,Over-ear ANC headphones
104,USB-C Charger,Electronics,Power,ChargeMax,999,Fast charging USB-C wall adapter
105,Fitness Tracker,Wearables,Fitness,FitPulse,3499,Heart rate and sleep monitoring band
106,Cotton T-Shirt,Fashion,Apparel,UrbanWear,599,Unisex soft cotton tee
107,Sports Shoes,Fashion,Footwear,RunPro,2999,Breathable running shoes
108,Coffee Maker,Home,Kitchen,BrewEase,2199,Drip coffee machine with timer
109,Stainless Steel Bottle,Home,Kitchen,SteelSafe,499,Insulated hot & cold bottle
110,Tablet Stand,Electronics,Accessories,FlexiHold,699,Adjustable desk tablet stand
